headword,CEFR,POS,POS2,POS3,POS4,INFO
a,A1,an indefinite article,,,,
about,A1,prep.,adv.,,,
above,A1,prep.,adv.,,,
across,A1,prep.,adv.,,,
action,A1,n.,,,,
activity,A1,n.,,,,
actor,A1,n.,,,,
actress,A1,n.,,,,
add,A1,v.,,,,
address,A1,n.,,,,
adult,A1,n.,,,,
advice,A1,n.,,,,
afraid,A1,adj.,,,,
after,A1,prep.,,,,
afternoon,A1,n.,,,,
again,A1,adv.,,,,
age,A1,n.,,,,
ago,A1,adv.,,,,
agree,A1,v.,,,,
air,A1,n.,,,,
airport,A1,n.,,,,
all,A1,det.,pron.,,,
also,A1,adv.,,,,
always,A1,adv.,,,,
amazing,A1,adj.,,,,
and,A1,conj.,,,,
angry,A1,adj.,,,,
animal,A1,n.,,,,
another,A1,det./pron.,,,,
answer,A1,n.,v.,,,
any,A1,det.,pron.,,,
anyone,A1,pron.,,,,
anything,A1,pron.,,,,
apartment,A1,n.,,,,
apple,A1,n.,,,,
April,A1,n.,,,,
area,A1,n.,,,,
arm,A1,n.,,,,
around,A1,prep.,adv.,,,
arrive,A1,v.,,,,
art,A1,n.,,,,
article,A1,n.,,,,
artist,A1,n.,,,,
as,A1,prep.,,,,
ask,A1,v.,,,,
at,A1,prep.,,,,
August,A1,n.,,,,
aunt,A1,n.,,,,
away,A1,adv.,,,,
awesome,A1,adj.,,,,
baby,A1,n.,,,,
back,A1,n.,adv.,,,
bad,A1,adj.,,,,
bag,A1,n.,,,,
ball,A1,n.,,,,
banana,A1,n.,,,,
bank,A1,n.,,,,(money)
bar,A1,n.,,,,
baseball,A1,n.,,,,
basketball,A1,n.,,,,
bath,A1,n.,,,,
bathroom,A1,n.,,,,
be,A1,v.,auxiliary v.,,,
beach,A1,n.,,,,
beautiful,A1,adj.,,,,
because,A1,conj.,,,,
become,A1,v.,,,,
bed,A1,n.,,,,
bedroom,A1,n.,,,,
beer,A1,n.,,,,
before,A1,prep.,,,,
begin,A1,v.,,,,
beginning,A1,n.,,,,
behind,A1,prep.,adv.,,,
believe,A1,v.,,,,
below,A1,adv.,prep.,,,
best,A1,adj.,,,,
better,A1,adj.,,,,
between,A1,prep.,,,,
bicycle,A1,n.,,,,
big,A1,adj.,,,,
bike,A1,n.,,,,
bill,A1,n.,,,,
bird,A1,n.,,,,
birthday,A1,n.,,,,
black,A1,adj.,n.,,,
blog,A1,n.,,,,
blond,A1,adj.,,,,
blue,A1,adj.,n.,,,
boat,A1,n.,,,,
body,A1,n.,,,,
book,A1,n.,,,,
boot,A1,n.,,,,
bored,A1,adj.,,,,
boring,A1,adj.,,,,
born,A1,v.,,,,
both,A1,det./pron.,,,,
bottle,A1,n.,,,,
box,A1,n.,,,,
boy,A1,n.,,,,
boyfriend,A1,n.,,,,
bread,A1,n.,,,,
break,A1,v.,n.,,,
breakfast,A1,n.,,,,
bring,A1,v.,,,,
brother,A1,n.,,,,
brown,A1,adj.,n.,,,
build,A1,v.,,,,
building,A1,n.,,,,
bus,A1,n.,,,,
business,A1,n.,,,,
busy,A1,adj.,,,,
but,A1,conj.,,,,
butter,A1,n.,,,,
buy,A1,v.,,,,
by,A1,prep.,,,,
bye,A1,exclam.,,,,
cafe,A1,n.,,,,
cake,A1,n.,,,,
call,A1,v.,n.,,,
camera,A1,n.,,,,
can,A1,modal,v.,,,
cannot,A1,modal,v.,,,
capital,A1,n.,adj.,,,
car,A1,n.,,,,
card,A1,n.,,,,
career,A1,n.,,,,
carrot,A1,n.,,,,
carry,A1,v.,,,,
cat,A1,n.,,,,
CD,A1,n.,,,,
cent,A1,n.,,,,
center,A1,n.,,,,
chair,A1,n.,,,,
change,A1,v.,n.,,,
chart,A1,n.,,,,
cheap,A1,adj.,,,,
check,A1,v.,,,,
cheese,A1,n.,,,,
chicken,A1,n.,,,,
child,A1,n.,,,,
chocolate,A1,n.,,,,
choose,A1,v.,,,,
city,A1,n.,,,,
class,A1,n.,,,,
classroom,A1,n.,,,,
clean,A1,adj.,v.,,,
climb,A1,v.,,,,
clock,A1,n.,,,,
close,A1,v.,,,,
clothes,A1,n.,,,,
club,A1,n.,,,,
coat,A1,n.,,,,
coffee,A1,n.,,,,
cold,A1,adj.,n.,,,
college,A1,n.,,,,
color,A1,n.,,,,
come,A1,v.,,,,
common,A1,adj.,,,,
company,A1,n.,,,,
compare,A1,v.,,,,
complete,A1,adj.,v.,,,
computer,A1,n.,,,,
concert,A1,n.,,,,
